name, displayName, class, item block
"tile.cloth.pink","Pink Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.gray","Gray Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.silver","Light Gray Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.cyan","Cyan Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.purple","Purple Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.blue","Blue Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.brown","Brown Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.green","Green Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.red","Red Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.black","Black Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.flower1.dandelion","Dandelion","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.poppy","Poppy","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.blueOrchid","Blue Orchid","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.allium","Allium","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.houstonia","Azure Bluet","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.tulipRed","Red Tulip","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.tulipOrange","Orange Tulip","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.tulipWhite","White Tulip","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.tulipPink","Pink Tulip","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.flower2.oxeyeDaisy","Oxeye Daisy","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockFlower"
"tile.mushroom","Mushroom","net.minecraft.item.ItemBlock","net.minecraft.block.BlockMushroom"
"tile.mushroom","Mushroom","net.minecraft.item.ItemBlock","net.minecraft.block.BlockMushroom"
"tile.blockGold","Block of Gold","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCompressed"
"tile.blockIron","Block of Iron","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCompressed"
"tile.stoneSlab.stone","Stone Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.stoneSlab.sand","Sandstone Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.stoneSlab.cobble","Cobblestone Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.stoneSlab.brick","Bricks Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.stoneSlab.smoothStoneBrick","Stone Bricks Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.stoneSlab.netherBrick","Nether Brick Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.stoneSlab.quartz","Quartz Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockStoneSlab"
"tile.brick","Bricks","net.minecraft.item.ItemBlock","net.minecraft.block.Block"
"tile.tnt","TNT","net.minecraft.item.ItemBlock","net.minecraft.block.BlockTNT"
"tile.bookshelf","Bookshelf","net.minecraft.item.ItemBlock","net.minecraft.block.BlockBookshelf"
"tile.stoneMoss","Moss Stone","net.minecraft.item.ItemBlock","net.minecraft.block.Block"
"tile.obsidian","Obsidian","net.minecraft.item.ItemBlock","net.minecraft.block.BlockObsidian"
"tile.torch","Torch","net.minecraft.item.ItemBlock","net.minecraft.block.BlockTorch"
"tile.fire","Fire","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFire"
"tile.mobSpawner","Monster Spawner","net.minecraft.item.ItemBlock","net.minecraft.block.BlockMobSpawner"
"tile.stairsWood","Oak Wood Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.chest","Chest","net.minecraft.item.ItemBlock","net.minecraft.block.BlockChest"
"tile.oreDiamond","Diamond Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.blockDiamond","Block of Diamond","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCompressed"
"tile.workbench","Crafting Table","net.minecraft.item.ItemBlock","net.minecraft.block.BlockWorkbench"
"tile.farmland","Farmland","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFarmland"
"tile.furnace","Furnace","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFurnace"
"tile.furnace","Furnace","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFurnace"
"tile.ladder","Ladder","net.minecraft.item.ItemBlock","net.minecraft.block.BlockLadder"
"tile.rail","Rail","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRail"
"tile.stairsStone","Stone Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.lever","Lever","net.minecraft.item.ItemBlock","net.minecraft.block.BlockLever"
"tile.pressurePlate","Pressure Plate","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPressurePlate"
"tile.pressurePlate","Pressure Plate","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPressurePlate"
"tile.oreRedstone","Redstone Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRedstoneOre"
"tile.notGate","Redstone Torch","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRedstoneTorch"
"tile.button","Button","net.minecraft.item.ItemBlock","net.minecraft.block.BlockButtonStone"
"tile.snow","Snow","net.minecraft.item.ItemSnow","net.minecraft.block.BlockSnow"
"tile.ice","Ice","net.minecraft.item.ItemBlock","net.minecraft.block.BlockIce"
"tile.snow","Snow","net.minecraft.item.ItemBlock","net.minecraft.block.BlockSnowBlock"
"tile.cactus","Cactus","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCactus"
"tile.clay","Clay","net.minecraft.item.ItemBlock","net.minecraft.block.BlockClay"
"tile.jukebox","Jukebox","net.minecraft.item.ItemBlock","net.minecraft.block.BlockJukebox"
"tile.fence","Fence","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFence"
"tile.pumpkin","Pumpkin","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPumpkin"
"tile.hellrock","Netherrack","net.minecraft.item.ItemBlock","net.minecraft.block.BlockNetherrack"
"tile.hellsand","Soul Sand","net.minecraft.item.ItemBlock","net.minecraft.block.BlockSoulSand"
"tile.lightgem","Glowstone","net.minecraft.item.ItemBlock","net.minecraft.block.BlockGlowstone"
"tile.portal","Portal","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPortal"
"tile.litpumpkin","Jack o'Lantern","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPumpkin"
"tile.stainedGlass.white","White Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.orange","Orange Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.magenta","Magenta Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.lightBlue","Light Blue Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.yellow","Yellow Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.lime","Lime Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.pink","Pink Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.gray","Gray Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.silver","Light Gray Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.cyan","Cyan Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.purple","Purple Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.blue","Blue Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.brown","Brown Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.green","Green Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.red","Red Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.stainedGlass.black","Black Stained Glass","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlass"
"tile.trapdoor","Trapdoor","net.minecraft.item.ItemBlock","net.minecraft.block.BlockTrapDoor"
"tile.monsterStoneEgg.stone","Stone Monster Egg","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSilverfish"
"tile.monsterStoneEgg.cobble","Cobblestone Monster Egg","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSilverfish"
"tile.monsterStoneEgg.brick","Stone Brick Monster Egg","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSilverfish"
"tile.monsterStoneEgg.mossybrick","Mossy Stone Brick Monster Egg","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSilverfish"
"tile.monsterStoneEgg.crackedbrick","Cracked Stone Brick Monster Egg","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSilverfish"
"tile.monsterStoneEgg.chiseledbrick","Chiseled Stone Brick Monster Egg","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSilverfish"
"tile.stonebricksmooth.default","Stone Bricks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockStoneBrick"
"tile.stonebricksmooth.mossy","Mossy Stone Bricks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockStoneBrick"
"tile.stonebricksmooth.cracked","Cracked Stone Bricks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockStoneBrick"
"tile.stonebricksmooth.chiseled","Chiseled Stone Bricks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockStoneBrick"
"tile.mushroom","Mushroom","net.minecraft.item.ItemBlock","net.minecraft.block.BlockHugeMushroom"
"tile.mushroom","Mushroom","net.minecraft.item.ItemBlock","net.minecraft.block.BlockHugeMushroom"
"tile.fenceIron","Iron Bars","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPane"
"tile.thinGlass","Glass Pane","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPane"
"tile.melon","Melon","net.minecraft.item.ItemBlock","net.minecraft.block.BlockMelon"
"tile.vine","Vines","net.minecraft.item.ItemColored","net.minecraft.block.BlockVine"
"tile.fenceGate","Fence Gate","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFenceGate"
"tile.stairsBrick","Brick Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.stairsStoneBrickSmooth","Stone Brick Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.mycel","Mycelium","net.minecraft.item.ItemBlock","net.minecraft.block.BlockMycelium"
"tile.waterlily","Lily Pad","net.minecraft.item.ItemLilyPad","net.minecraft.block.BlockLilyPad"
"tile.netherBrick","Nether Brick","net.minecraft.item.ItemBlock","net.minecraft.block.Block"
"tile.netherFence","Nether Brick Fence","net.minecraft.item.ItemBlock","net.minecraft.block.BlockFence"
"tile.stairsNetherBrick","Nether Brick Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.enchantmentTable","Enchantment Table","net.minecraft.item.ItemBlock","net.minecraft.block.BlockEnchantmentTable"
"tile.null","tile.null.name","net.minecraft.item.ItemBlock","net.minecraft.block.BlockEndPortal"
"tile.endPortalFrame","End Portal","net.minecraft.item.ItemBlock","net.minecraft.block.BlockEndPortalFrame"
"tile.whiteStone","End Stone","net.minecraft.item.ItemBlock","net.minecraft.block.Block"
"tile.dragonEgg","Dragon Egg","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDragonEgg"
"tile.redstoneLight","Redstone Lamp","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRedstoneLight"
"tile.woodSlab.oak","Oak Wood Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockWoodSlab"
"tile.woodSlab.spruce","Spruce Wood Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockWoodSlab"
"tile.woodSlab.birch","Birch Wood Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockWoodSlab"
"tile.woodSlab.jungle","Jungle Wood Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockWoodSlab"
"tile.woodSlab.acacia","Acacia Wood Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockWoodSlab"
"tile.woodSlab.big_oak","Dark Oak Wood Slab","net.minecraft.item.ItemSlab","net.minecraft.block.BlockWoodSlab"
"tile.cocoa","Cocoa","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCocoa"
"tile.stairsSandStone","Sandstone Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.oreEmerald","Emerald Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.enderChest","Ender Chest","net.minecraft.item.ItemBlock","net.minecraft.block.BlockEnderChest"
"tile.tripWireSource","Tripwire Hook","net.minecraft.item.ItemBlock","net.minecraft.block.BlockTripWireHook"
"tile.blockEmerald","Block of Emerald","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCompressed"
"tile.stairsWoodSpruce","Spruce Wood Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.stairsWoodBirch","Birch Wood Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.stairsWoodJungle","Jungle Wood Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.commandBlock","Command Block","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCommandBlock"
"tile.beacon","Beacon","net.minecraft.item.ItemBlock","net.minecraft.block.BlockBeacon"
"tile.cobbleWall.normal","Cobblestone Wall","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWall"
"tile.cobbleWall.mossy","Mossy Cobblestone Wall","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWall"
"tile.carrots","Carrots","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCarrot"
"tile.potatoes","Potatoes","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPotato"
"tile.button","Button","net.minecraft.item.ItemBlock","net.minecraft.block.BlockButtonWood"
"tile.anvil.intact","Anvil","net.minecraft.item.ItemAnvilBlock","net.minecraft.block.BlockAnvil"
"tile.anvil.slightlyDamaged","Slightly Damaged Anvil","net.minecraft.item.ItemAnvilBlock","net.minecraft.block.BlockAnvil"
"tile.anvil.veryDamaged","Very Damaged Anvil","net.minecraft.item.ItemAnvilBlock","net.minecraft.block.BlockAnvil"
"tile.chestTrap","Trapped Chest","net.minecraft.item.ItemBlock","net.minecraft.block.BlockChest"
"tile.weightedPlate_light","Weighted Pressure Plate (Light)","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPressurePlateWeighted"
"tile.weightedPlate_heavy","Weighted Pressure Plate (Heavy)","net.minecraft.item.ItemBlock","net.minecraft.block.BlockPressurePlateWeighted"
"tile.daylightDetector","Daylight Sensor","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDaylightDetector"
"tile.blockRedstone","Block of Redstone","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCompressedPowered"
"tile.netherquartz","Nether Quartz Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.hopper","Hopper","net.minecraft.item.ItemBlock","net.minecraft.block.BlockHopper"
"tile.quartzBlock.default","Block of Quartz","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockQuartz"
"tile.quartzBlock.chiseled","Chiseled Quartz Block","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockQuartz"
"tile.quartzBlock.lines","Pillar Quartz Block","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockQuartz"
"tile.stairsQuartz","Quartz Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.activatorRail","Activator Rail","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRailPowered"
"tile.dropper","Dropper","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDropper"
"tile.clayHardenedStained.white","White Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.orange","Orange Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.magenta","Magenta Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.lightBlue","Light Blue Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.yellow","Yellow Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.lime","Lime Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.pink","Pink Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.gray","Gray Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.silver","Light Gray Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.cyan","Cyan Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.purple","Purple Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.blue","Blue Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.brown","Brown Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.green","Green Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.red","Red Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.clayHardenedStained.black","Black Stained Clay","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.thinStainedGlass.white","White Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.orange","Orange Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.magenta","Magenta Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.lightBlue","Light Blue Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.yellow","Yellow Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.lime","Lime Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.pink","Pink Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.gray","Gray Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.silver","Light Gray Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.cyan","Cyan Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.purple","Purple Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.blue","Blue Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.brown","Brown Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.green","Green Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.red","Red Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.thinStainedGlass.black","Black Stained Glass Pane","net.minecraft.item.ItemCloth","net.minecraft.block.BlockStainedGlassPane"
"tile.leaves.acacia","Acacia Leaves","net.minecraft.item.ItemLeaves","net.minecraft.block.BlockNewLeaf"
"tile.leaves.big_oak","Dark Oak Leaves","net.minecraft.item.ItemLeaves","net.minecraft.block.BlockNewLeaf"
"tile.log.acacia","Acacia Wood","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockNewLog"
"tile.log.big_oak","Dark Oak Wood","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockNewLog"
"tile.stairsWoodAcacia","Acacia Wood Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.stairsWoodDarkOak","Dark Oak Wood Stairs","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStairs"
"tile.hayBlock","Hay Bale","net.minecraft.item.ItemBlock","net.minecraft.block.BlockHay"
"tile.woolCarpet.white","Carpet","net.minecraft.item.ItemCloth","net.minecraft.block.BlockCarpet"
